City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,East London,ZA,72.54,clear sky,-33.0153,27.9116,Tu Casa
5,Busselton,AU,76.08,scattered clouds,-33.65,115.3333,Observatory Guest House
11,Kupang,ID,77.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
13,Atuona,PF,78.8,clear sky,-9.8,-139.0333,Villa Enata
14,Port Elizabeth,ZA,72.1,few clouds,-33.918,25.5701,39 On Nile Guest House
15,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
19,Mbandaka,CD,75.2,light rain,0.0487,18.2603,Guest House Epervier
25,Ponta Do Sol,PT,71.01,broken clouds,32.6667,-17.1,Hotel do Campo
26,Rikitea,PF,76.66,broken clouds,-23.1203,-134.9692,People ThankYou
28,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
32,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Namibe,AO,73.9,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
38,Kapaa,US,74.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,San Policarpo,PH,79.12,overcast clouds,12.1791,125.5072,Agapita M. Nicart
53,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,Caravelas,BR,79.56,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
61,Hermanus,ZA,70.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
66,Mahebourg,MU,79.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
75,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
78,Necochea,AR,75.04,clear sky,-38.5473,-58.7368,dyd -mar Hotel
79,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
81,Bairiki,KI,78.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
97,Sur,OM,73.4,broken clouds,22.5667,59.5289,Sur Plaza Hotel
107,Calama,CL,77.49,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
109,Acapulco,MX,79.9,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
115,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
120,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
122,Saldanha,ZA,73.45,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
126,Marrakesh,MA,77.07,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
131,Asosa,ET,71.47,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
132,Cidreira,BR,76.08,clear sky,-30.1811,-50.2056,Hotel Castelo
134,Majene,ID,77.63,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
141,Rock Sound,BS,76.1,broken clouds,24.9,-76.2,Rock Sound Club
148,Hambantota,LK,77.34,clear sky,6.1241,81.1185,Bungalow 63
150,Manokwari,ID,76.42,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
159,Portel,BR,76.26,overcast clouds,-1.9356,-50.8211,Kitnet do Marcos
162,Grand Gaube,MU,79.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
170,Puri,IN,72.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
