City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,72.54,64,0,17.27,clear sky
1,Olafsvik,IS,64.8945,-23.7142,26.56,68,82,15.7,snow
2,Mataura,NZ,-46.1927,168.8643,50.49,98,100,2.04,overcast clouds
3,Tasiilaq,GL,65.6145,-37.6368,6.96,74,4,3.76,clear sky
4,Kaitangata,NZ,-46.2817,169.8464,48.78,94,96,5.91,overcast clouds
5,Busselton,AU,-33.65,115.3333,76.08,56,32,6.17,scattered clouds
6,Harper,LR,4.375,-7.7169,83.62,71,55,8.77,broken clouds
7,Punta Arenas,CL,-53.15,-70.9167,55.51,50,40,14.97,scattered clouds
8,Hithadhoo,MV,-0.6,73.0833,81.66,76,62,11.92,broken clouds
9,Thompson,CA,55.7435,-97.8558,-12.84,77,90,5.75,overcast clouds
10,Saskylakh,RU,71.9167,114.0833,-31.95,100,49,1.99,scattered clouds
11,Kupang,ID,-10.1667,123.5833,77.58,100,40,2.3,scattered clouds
12,Nouakchott,MR,18.0858,-15.9785,93.13,22,1,11.7,clear sky
13,Atuona,PF,-9.8,-139.0333,78.8,72,9,19.39,clear sky
14,Port Elizabeth,ZA,-33.918,25.5701,72.1,73,20,25.32,few clouds
15,San Patricio,US,28.017,-97.5169,77.09,70,7,14.9,clear sky
16,Ushuaia,AR,-54.8,-68.3,47.86,66,75,19.57,broken clouds
17,Faanui,PF,-16.4833,-151.75,80.04,73,100,6.04,light rain
18,Lagoa,PT,39.05,-27.9833,63.97,89,100,35.34,overcast clouds
19,Mbandaka,CD,0.0487,18.2603,75.2,89,66,6.69,light rain
20,Codrington,AU,-38.2667,141.9667,51.35,92,2,7.61,clear sky
21,Braintree,GB,51.8782,0.5529,51.78,93,97,20.4,overcast clouds
22,Kahului,US,20.8947,-156.47,68.97,77,1,5.75,clear sky
23,Cayenne,GF,4.9333,-52.3333,84.24,84,90,7.0,overcast clouds
24,Beringovskiy,RU,63.05,179.3167,2.95,97,100,18.32,snow
25,Ponta Do Sol,PT,32.6667,-17.1,71.01,85,59,5.68,broken clouds
26,Rikitea,PF,-23.1203,-134.9692,76.66,79,69,13.58,broken clouds
27,Mitchell,US,43.7094,-98.0298,3.18,78,90,17.27,overcast clouds
28,Avarua,CK,-21.2078,-159.775,75.25,73,100,5.75,overcast clouds
29,Bluff,NZ,-46.6,168.3333,50.81,73,100,8.99,overcast clouds
30,Thinadhoo,MV,0.5333,72.9333,81.55,74,83,11.63,broken clouds
31,Kodiak,US,57.79,-152.4072,38.97,77,3,5.97,clear sky
32,Saint-Philippe,RE,-21.3585,55.7679,78.39,86,96,14.05,light rain
33,Tuatapere,NZ,-46.1333,167.6833,50.83,90,100,3.4,overcast clouds
34,Qaanaaq,GL,77.484,-69.3632,-3.44,53,49,7.27,scattered clouds
35,Namibe,AO,-15.1961,12.1522,73.9,60,62,11.01,broken clouds
36,Clyde River,CA,70.4692,-68.5914,-18.17,76,20,3.44,few clouds
37,Nalut,LY,30.3333,10.85,63.36,48,0,12.64,clear sky
